,age_group_id,location_name,location_id,modelable_entity_name,modelable_entity_id,mean,population,sex_id,year_id
770,22,Laos,12,Diet low in seafood omega-3 fatty acids (g/day),2429,0.03797401856953763,1601171.1115989944,1,2016
771,22,Laos,12,Diet low in seafood omega-3 fatty acids (g/day),2429,0.03231844111966337,1616678.4354931698,2,2016
385,22,Laos,12,Diet low in seafood omega-3 fatty acids (g/day),2429,0.035132602285256866,3217849.547092164,3,2016
1150,22,Laos,12,Diet low in fruits (g/day),2430,82.60182455658268,1601171.1115989944,1,2016
1151,22,Laos,12,Diet low in fruits (g/day),2430,94.3507033431366,1616678.4354931698,2,2016
575,22,Laos,12,Diet low in fruits (g/day),2430,88.50457379873077,3217849.547092164,3,2016
1530,22,Laos,12,Diet low in whole grains (g/day),2431,17.913743528071407,1601171.1115989944,1,2016
1531,22,Laos,12,Diet low in whole grains (g/day),2431,21.958714366001345,1616678.4354931698,2,2016
765,22,Laos,12,Diet low in whole grains (g/day),2431,19.945975622884376,3217849.547092164,3,2016
1910,22,Laos,12,Diet low in legumes (g/day),2432,33.71152416802091,1601171.1115989944,1,2016
1911,22,Laos,12,Diet low in legumes (g/day),2432,28.634325747642087,1616678.4354931698,2,2016
955,22,Laos,12,Diet low in legumes (g/day),2432,31.160691048317155,3217849.547092164,3,2016
2290,22,Laos,12,Diet low in milk (g/day),2433,3.683930406714864,1601171.1115989944,1,2016
2291,22,Laos,12,Diet low in milk (g/day),2433,3.5722322148288033,1616678.4354931698,2,2016
1145,22,Laos,12,Diet low in milk (g/day),2433,3.6278121651802486,3217849.547092164,3,2016
2670,22,Laos,12,Diet low in nuts and seeds (g/day),2434,1.3477555228796243,1601171.1115989944,1,2016
2671,22,Laos,12,Diet low in nuts and seeds (g/day),2434,1.2891271256737462,1616678.4354931698,2,2016
1335,22,Laos,12,Diet low in nuts and seeds (g/day),2434,1.31830005453558,3217849.547092164,3,2016
