Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>2SD (obesity),Prevalence of BMI>2SD lower 95% uncertainty interval,Prevalence of BMI>2SD upper 95% uncertainty interval,Prevalence of BMI>1SD (overweight),Prevalence of BMI>1SD lower 95% uncertainty interval,Prevalence of BMI>1SD upper 95% uncertainty interval,Prevalence of 1SD<BMI<2SD,Prevalence of 1SD<BMI<2SD lower 95% uncertainty interval,Prevalence of 1SD<BMI<2SD upper 95% uncertainty interval,Prevalence of minus1SD<BMI<1SD,Prevalence of minus1SD<BMI<1SD lower 95% uncertainty interval,Prevalence of minus1SD<BMI<1SD upper 95% uncertainty interval,Prevalence of minus2SD<BMI<minus1SD,Prevalence of minus2SD<BMI<minus1SD lower 95% uncertainty interval,Prevalence of minus2SD<BMI<minus1SD upper 95% uncertainty interval,Prevalence of BMI<minus1SD (underweight),Prevalence of BMI<minus1SD lower 95% uncertainty interval,Prevalence of BMI<minus1SD upper 95% uncertainty interval,Prevalence of BMI<minus2SD (moderate & severe underweight),Prevalence of BMI<minus2SD lower 95% uncertainty interval,Prevalence of BMI<minus2SD upper 95% uncertainty interval
World,NA,Boys,2009,18.0315940219251,17.9375033123458,18.1271127316866,0.0535327719390089,0.0482028119035732,0.0590887157529553,0.14712018115053,0.138179244926604,0.156859868404095,0.0935874092115206,0.0856918420241975,0.102017329871485,0.508662361827735,0.490103011786272,0.526952789709521,0.211349065808469,0.195486667906936,0.228178189886746,0.344217457021735,0.327449383502055,0.361761850857009,0.132868391213267,0.118699222466589,0.147754105566042
World,NA,Boys,2010,18.0883169298674,17.9908388217724,18.1856445842013,0.0564947001594062,0.0507498287889901,0.062739545476228,0.152841598235356,0.143440602480803,0.163068861268945,0.0963468980759496,0.0880091888848835,0.10531251118966,0.506416172493161,0.486941701588554,0.525292620770519,0.208806119170059,0.192521008438599,0.226026727206507,0.340742229271483,0.323308963967672,0.358930306892359,0.131936110101423,0.117443463697424,0.147033498733624
World,NA,Boys,2011,18.1482030027028,18.0481825457209,18.2492226647504,0.059614407605537,0.0534056513119204,0.0664380081022069,0.158773873574207,0.148500677557091,0.169760933118581,0.0991594659686699,0.0901751868329135,0.108715260752077,0.504201235587323,0.483914527071433,0.523698518866317,0.206185162525611,0.18925203753595,0.223990756466516,0.33702489083847,0.31853943870655,0.356419810981278,0.13083972831286,0.11589757514632,0.146520140226556
World,NA,Boys,2012,18.2107174305623,18.1013260031734,18.3204518612095,0.0629046058367746,0.0559909984357868,0.0706017125104933,0.16493931559458,0.153812866384305,0.176730672447011,0.102034709757805,0.09226609422013,0.112360434118909,0.501979259875156,0.48081382417201,0.522475883992223,0.20349208779749,0.185924641060757,0.221989878120146,0.333081424530264,0.313659097578412,0.353611458591603,0.129589336732774,0.113742480669657,0.146283479312584
World,NA,Boys,2013,18.2763379179121,18.1557689706704,18.3992692688431,0.0663764778462915,0.0585517696852244,0.0748962157768338,0.171351555763125,0.159142294429615,0.184426093716258,0.104975077916834,0.0943449667336005,0.116344258322502,0.499719985362266,0.477371788194519,0.521230882480666,0.20072456818732,0.182300491237719,0.220151589869814,0.328928458874609,0.30830934694002,0.350482911629185,0.128203890687289,0.111586057144899,0.145728145803034
World,NA,Boys,2014,18.343518001092,18.2081269379525,18.4820312601392,0.070040683531746,0.0611400260558713,0.0799245613362001,0.17801412289994,0.164469197051505,0.192501443718953,0.107973439368194,0.0963061105204118,0.120435436658845,0.497375628942869,0.473919215533774,0.520372058626695,0.197878102564491,0.178363710461847,0.218289557989526,0.324610248157191,0.302678583625622,0.347495239601606,0.126732145592701,0.108818831657947,0.145355024580206
World,NA,Boys,2015,18.4125435761005,18.2583734857641,18.5739366547839,0.0738855589568762,0.0638283294899788,0.0850691476508696,0.184925789644065,0.169848653563781,0.200846007510315,0.111040230687189,0.0982051712161895,0.124724304659235,0.494913333701334,0.469872061911693,0.519748852345825,0.194966686999701,0.174369109310144,0.216466008802115,0.320160876654601,0.296966240293825,0.344319695933406,0.1251941896549,0.106068901594209,0.144941447609645
World,NA,Boys,2016,18.4829060829487,18.3010459010571,18.675897677909,0.0779121716231142,0.0666147800885404,0.0908755011431052,0.192092840287408,0.175347232041403,0.209966699769564,0.114180668664294,0.0999839545985804,0.129357556985896,0.49232482146771,0.465673580160802,0.51905707473491,0.191993818551785,0.170373897890522,0.214935476521638,0.315582338244882,0.290481714730241,0.341426210648778,0.123588519693097,0.103090105260427,0.144779042373764
World,NA,Girls,1975,17.2404264756404,16.8204926209962,17.6473402790329,0.00743773759779204,0.00449388560715957,0.0115815856279416,0.0462182630269002,0.0353687144032639,0.0591019776907738,0.0387805254291081,0.0285977834199427,0.0512784260437448,0.622798671556079,0.573180000030271,0.673574969608976,0.239025313210152,0.190863020472673,0.288483842572233,0.330983065417021,0.280763039760851,0.379859357238795,0.0919577522068684,0.0596292088433605,0.128843477274542
World,NA,Girls,1976,17.2648368216478,16.8808476298378,17.6386365886187,0.00768546224849578,0.00477182405255744,0.0117446260952056,0.0474027983102424,0.0368560281846314,0.0599187994825139,0.0397173360617467,0.0298058404103136,0.0518560722752222,0.623154282332756,0.575836244312313,0.671439614644489,0.2380399289116,0.192181077656371,0.285239874320425,0.329442919357002,0.280981824063594,0.376246287972466,0.0914029904454011,0.0603258451993453,0.126711198558869
World,NA,Girls,1977,17.2895468603962,16.9368288267513,17.6308141147119,0.00794770061212141,0.00505637229427003,0.0118861079336334,0.0486191101838791,0.0383014245527023,0.0608681956815063,0.0406714095717577,0.0309609130661038,0.0524663954711657,0.623430761422185,0.57786891117703,0.669668312064361,0.237058724544412,0.193666784097413,0.281908103086255,0.327950128393936,0.281927344572532,0.372958371155456,0.0908914038495247,0.0614174504794366,0.124672447537568
World,NA,Girls,1978,17.3143844972178,16.9886138943189,17.6257387493414,0.00823049849044391,0.00537412151624156,0.0120265958115633,0.04988584234436,0.0398211659594938,0.061704453600728,0.0416553438539161,0.0321521627151797,0.0532439684957636,0.62359419281391,0.579694845691487,0.667550060268335,0.236074767652543,0.194566875900193,0.279235950405032,0.32651996484173,0.282845733799216,0.370000476561752,0.0904451971891867,0.0623343769110561,0.122455343137404
